	SRR17933311	SRR17933310	SRR17933309	SRR17933308	SRR17933307	SRR17933306
Gene	Par	Par	sgSTING	sgSTING	sgSTING	sgSTING
MUC13	1.4981576716169285	0.723609503334188	-0.8248230901042327	-1.2229233230089271	0.05598731304174801	-0.23000807487970157
CEACAM1	1.2899778176425423	0.9558267805980718	-0.6738551700004	-1.2154560855670373	0.2840272505529935	-0.6405205932261689
SLIT2	1.2828344474752869	1.2891935137813229	-0.6700960448768241	-0.5819377513844352	-0.5306848426707428	-0.7893093223246103
ODF3B	0.6369293562774648	1.2212136670181095	0.6795633974110732	-0.9085422641868297	-0.32030746165438	-1.3088566948654354
PSME2	0.9429490571218224	1.2067815571907645	-0.20608401945034993	0.2854151184246023	-1.266575052814377	-0.9624866604724529
C1R	1.1030950412772886	1.425554752591063	-0.5127571778750484	-0.37503937911366125	-0.8449301430531377	-0.795923093826502
PLAAT4	1.5359443659829084	0.9179569047612647	-0.6842758011025143	-0.5277843003446654	-0.9953238705991042	-0.24651729869788508
PDLIM7	1.3570502639454736	1.1540909095160545	-0.24461294353554439	-0.6782663991692974	-0.6435983079614538	-0.9446635227952175
CD40	0.5535849857717272	1.3912048730551636	0.17254951915703137	-0.3276130248682198	-1.608806040018449	-0.18092031309726023
DDX60	1.1170802460548153	1.2754789744635782	-1.046197089993574	-0.9024838520774908	-0.4645970178976549	0.020718739450326866
AVPI1	1.164737164359382	0.7675234047615258	-0.0061272300158915285	0.45704884690832664	-1.1387455452766388	-1.2444366407367042
HELZ2	0.8154276941143126	0.9600160713113599	0.012764464856383023	0.6548993355569664	-1.2228687143543475	-1.2202388514846745
CCND3	1.249213988320305	0.8963989483950849	0.3041087122988523	-0.21492561437968769	-1.1245236709500697	-1.1102723636844656
PSME1	1.5714346521622509	0.884899243992236	-0.4221963843153708	-0.9362851128108545	-0.33676244490532287	-0.7610899541229388
MVP	0.869435818081017	0.6170537988657655	1.0456553604286927	-0.208937636699527	-1.044067027466499	-1.279140313209441
IFI6	1.0727512276902311	0.79166796152152	0.4685669219342272	0.1071035429183927	-1.135127947035123	-1.304961707029253
ICAM1	1.085350280699246	1.135150504415506	0.04416898543375131	-0.042753010769797935	-1.285904568207937	-0.9360121915707728
OGFR	0.9035819264339745	0.8470037385746998	0.23306901160085447	0.5005688167650965	-1.0477526948542937	-1.4364707985203553
MFSD12	1.2981715301680925	0.9827531634653356	0.06967938833182119	-0.28558171046830866	-0.777191709350582	-1.2878306621463584
HLA-B	1.0561992157521192	0.422073873631298	0.7349743947858538	0.2475486264658141	-1.4267019387842146	-1.034094171850852
LY6E	1.101835175995635	0.8883379605633428	0.5778226496780212	-0.314096522014294	-1.2370594103025578	-1.0168398539201298
CFB	1.220142601391155	1.2653387403763925	-1.0794575981142784	-0.6314588801487464	-0.5393112399431166	-0.23525362356140408
PLEKHA4	1.0208370249428784	1.2719383340343164	0.11534744084125419	-0.2907306911139376	-1.0754382921582086	-1.0419538165463005
HES4	0.7328333365606784	0.7933738443733372	0.9033697152491957	0.004265246404897649	-1.0501511375315649	-1.3836910050565723
GSDMD	1.033729034233244	0.7614398633413721	0.4689668182768068	0.20982693939169747	-1.1199112900586654	-1.3540513651844437
TENT5A	0.899726855598207	1.4470383067947667	0.1254343657833881	-0.8610754322725107	-0.9496568389752666	-0.6614672569285873
APOL3	1.176432813704238	0.9516560247687483	-0.44629417922079684	0.4158882351045588	-0.7860883651621344	-1.3115945291946158
TRIB2	1.0769086563191976	1.4765888003826748	-0.5686910527608608	-0.6407951462692925	-0.7786409822195746	-0.5653702754521417
IFI44	0.8809782859275075	1.0936511614591997	-1.6214682861494198	-0.5975527765687814	0.19872045130297336	0.04567116402853911
SHISA5	0.9983953575081341	1.0719832186400378	0.23071595016106744	0.045804232261129535	-1.0238433629973096	-1.3230553955730482
TNIP3	1.3984458319512931	1.0586473359198354	-0.08158961652831931	-0.6373920713815179	-0.8597338121753043	-0.8783776677859865
GDA	1.0839376516049246	1.3491803575974382	-1.039965017396112	-0.811812726477218	-0.5088972365975117	-0.07244302873151509
TSPAN13	1.4713356697191076	0.9678559844144999	-0.958460023326445	-0.7890258705933018	-0.10296373841024542	-0.5887420218036109
