	SRR29733210	SRR29733211	SRR29733212	SRR29733213	SRR29733206	SRR29733207	SRR29733208	SRR29733209
Gene	STING WT	STING WT	STING WT	STING WT	STING KO	STING KO	STING KO	STING KO
BIRC3	1.545807343086409	1.5115207826637085	-0.10676133465494717	-0.2457804462672105	-0.5911230137417298	-0.1996482318452791	-0.828621729967411	-1.0853933692735434
RICTOR	0.6788410906247426	0.5008031975217822	-1.1465716979717548	-1.3253897818100828	1.002068099054274	1.161286094825768	0.05692824721560383	-0.9279652494603386
C6orf62	1.1251347480488076	1.0598378306820868	-0.9208895735894423	-0.7057035207018009	0.5719327788914269	0.9166629428936162	-1.0576102027890568	-0.9893650034356412
CASP1	0.2811371130356682	0.9453324248993688	0.40357286573742596	0.0544211783017117	0.24890211479427735	1.0911259129020843	-1.3795939325126503	-1.6448976771578818
B2M	0.8388343433799432	1.5222933071220817	0.18891729544815355	0.008548093547990254	-0.7192421845972125	0.6242052595041566	-1.2024409942386014	-1.2611151201665005
APOL1	0.655511568582147	0.8287962787292368	0.32988421606644186	0.3161965257346961	0.583398709556929	0.47619293169185517	-1.4962561915040995	-1.693724038857202
SAR1A	-1.1255593372793564	-0.3868382865215135	-1.0100791828499147	-1.0358327270301293	0.4609477987945486	1.2428958028557489	0.8451411642629689	1.0093247677676345
STAT1	1.3404387166927334	1.3211979303494625	-0.46624703057396916	-0.8569267336353726	0.1502691362242139	0.5571990794069483	-0.8229884279545885	-1.2229426705094215
EIF2AK2	1.3755327743704306	1.11092727500385	-0.6190592173292849	-0.9605579593581536	0.4167455511375932	0.5777256607417373	-0.5950569502687226	-1.3062571342974907
EXT1	1.4199798638655392	1.421357319005787	0.1407539143677951	0.1807343864558929	-0.9708714248360404	-1.2235551480861275	-0.4499414205375808	-0.5184574902352513
IRAK2	1.5588934038310918	1.5175366895593208	-0.03459427225233546	-0.05651452328628615	-0.8299841990251967	-0.6270663233679834	-0.6846012119803256	-0.8436695634782836
STARD4	-0.4291858932788577	0.1364603877411401	0.7956810643353099	1.076603846521741	-1.6875773092227941	-1.1427855866907297	0.8109591155465313	0.43984437504764484
XRN1	0.7344683745833317	0.8548089693575374	-0.9420756896858695	-1.1262584387367058	0.9242637722718237	1.1442762043142685	-0.5236021529284584	-1.0658810391759233
IFIH1	1.4805157460695189	1.392577726626755	-0.10297904567799022	-0.4505955581316542	-0.005504135246231444	-0.03384762765179143	-0.9751557095780323	-1.3050113964105636
NFKBIA	1.348474811488846	1.3446136470969017	0.4339060624698319	0.32740993595625456	-0.7726861705981841	-0.6672023459824489	-0.9488715001815685	-1.0656444402496308
NCOA7	1.4841091927676944	1.5235031831545136	-0.05876889300684736	0.019844932930803826	-0.5636118084273699	-0.4295626619799069	-0.8902881950663056	-1.0852257503725917
SAT1	0.7814008879921993	1.3677550735657042	0.26514800431630214	0.00873963663879431	-0.358890601229031	0.7011352206957738	-1.4299533536293405	-1.3353348683503843
NBN	0.8013024572660253	0.9035932450349995	-1.1108688356959846	-1.162819815035577	0.6523089251794596	1.2132013456195907	-0.31885010196359687	-0.9778672204049278
CD55	0.967149979906863	1.1001069551743388	-0.25609859046591643	-0.45708794310330697	0.3091057579785808	0.9864846611554052	-1.345080586008798	-1.3045802346371722
C5orf15	0.8366196100557152	1.6417267574099323	-0.3896739803649152	0.2004674208841858	-0.3106138052539842	0.4915858863859217	-1.1257309881699153	-1.3443809009469347
SEMA3A	1.2165600974355444	1.1325529410619233	-0.3221245639890972	-0.47829829769386056	0.2561680659463597	0.7005452121823663	-0.9287704381721366	-1.5766330167711187
NCF2	-0.745388275845684	-0.5133568600103818	-0.5967434664680261	-0.7092206728986198	1.2706785745490292	1.8412130227452228	0.015692992639018785	-0.5628753147105584
ERAP1	1.0629679320134353	1.433174449850487	0.030133418587199857	-0.22047646131549375	-0.16999192427409218	0.46572368043725654	-1.0392177908676286	-1.5623133044311739
PRRG4	0.40674770298777047	0.9897444770884929	-1.088943861060678	0.1978762966618851	1.1230302996403818	0.6306758772551854	-0.6717317311706453	-1.5873990614023819
MASTL	-1.099089531439609	-0.76801457983568	-0.24817479390088829	0.2003126761360719	-1.1869671471483132	0.8315300805132596	1.5949521588634208	0.6754511368117323
NEK7	-0.998298830278654	-0.4413328453523336	-1.3738120811851045	-0.6627959874128314	0.8021461719255354	1.3642193744388387	0.8994247467716424	0.4104494510929014
SMARCA5	0.4875732750297662	1.1559225433038252	-0.7708666483352409	-1.5775230634069035	0.5838865637446794	1.165527492711616	-0.3004359065929598	-0.7440842564548239
SH3KBP1	0.10635642271790265	0.18383222794891654	-0.26584655284827097	-0.5115860471730593	1.323292737224858	1.4794495674976669	-1.1882314838093477	-1.1272668715586696
CD2AP	0.40896097883707355	0.5021504948814972	-1.259466114019231	-1.129782938481434	0.992671907768994	1.3890654767023116	-0.0075113151160494905	-0.8960884905731777
LIPA	-0.9486295410519775	-0.15176276740952854	-0.6509202236288647	-1.0259804354671331	-0.6496431102381669	1.04449375564973	1.544575076668995	0.8378672454769355
TOR1B	0.7860046012414338	1.583830955172473	0.7096262519162732	0.2426589248804979	-1.2052244862352637	-0.2636316104760465	-0.7370790192557457	-1.1161856172436502
